ProductID,ProductName,Category,UnitPrice,SatisfactionScore,SupplierName
2000,Electronics-Be,Electronics,969.31,7,PrimeSource Ltd.
2001,Electronics-Be,Clothing,412.35,4,FreshMart Co.
2002,Office-Family,Clothing,866,8,GlobalTech Supplies
2003,Electronics-Training,Clothing,385.18,5,EcoHome Goods
2004,Office-Where,Home,927.25,7,UrbanStyle Traders
2005,Office-Huge,Home,428.78,10,PrimeSource Ltd.
2006,Office-Class,Clothing,198,3,UrbanStyle Traders
2007,Clothing-Over,Electronics,583.39,7,UrbanStyle Traders
2008,Electronics-Skin,Home,66.59,8,GlobalTech Supplies
2009,Office-Raise,Clothing,66.31,5,UrbanStyle Traders
2010,Electronics-Themselves,Clothing,77.84,4,EcoHome Goods
2011,Electronics-Religious,Clothing,409.74,8,UrbanStyle Traders
2012,Clothing-Artist,Electronics,623.19,8,GlobalTech Supplies
2013,Office-Cultural,Home,935.36,3,EcoHome Goods
2014,Clothing-Eat,Home,246.3,6,FreshMart Co.
2015,Office-Itself,Clothing,674.97,5,UrbanStyle Traders
2016,Home-He,Office,323.02,2,GlobalTech Supplies
2017,Electronics-Feeling,Electronics,463.7,8,FreshMart Co.
2018,Electronics-Nature,Electronics,542.26,6,FreshMart Co.
2019,Home-History,Clothing,933.93,2,PrimeSource Ltd.
2020,Electronics-Share,Clothing,375.83,5,EcoHome Goods
2021,Clothing-Skill,Office,835.41,1,UrbanStyle Traders
2022,Home-Economy,Electronics,671.18,10,GlobalTech Supplies
2023,Home-Yeah,Electronics,939.54,6,PrimeSource Ltd.
2024,Clothing-Paper,Home,124.27,9,EcoHome Goods
2025,Electronics-Assume,Clothing,279.62,1,PrimeSource Ltd.
2026,Clothing-Use,Home,211.56,10,EcoHome Goods
2027,Home-Purpose,Office,258.61,3,EcoHome Goods
2028,Electronics-Take,Electronics,637.94,7,UrbanStyle Traders
2029,Home-Yourself,Electronics,13.51,4,EcoHome Goods
2030,Clothing-First,Home,169.97,9,PrimeSource Ltd.
2031,Office-Develop,Office,565.3,3,EcoHome Goods
2032,Electronics-There,Electronics,945.6,5,UrbanStyle Traders
2033,Clothing-Argue,Electronics,836.25,3,UrbanStyle Traders
2034,Clothing-Feel,Office,136.17,7,PrimeSource Ltd.
2035,Home-According,Home,899.99,5,FreshMart Co.
2036,Electronics-Candidate,Home,217.98,9,FreshMart Co.
2037,Clothing-Meeting,Electronics,360.14,7,EcoHome Goods
2038,Office-Soon,Clothing,926.51,2,GlobalTech Supplies
2039,Clothing-Need,Clothing,976.44,4,EcoHome Goods
2040,Clothing-Determine,Office,34.54,9,PrimeSource Ltd.
2041,Home-Assume,Office,804.21,2,PrimeSource Ltd.
2042,Clothing-Lawyer,Home,167.61,10,PrimeSource Ltd.
2043,Electronics-Practice,Office,873.45,9,PrimeSource Ltd.
2044,Office-Society,Clothing,207.58,10,PrimeSource Ltd.
2045,Office-Next,Home,312.14,5,UrbanStyle Traders
2046,Clothing-Worry,Clothing,33.43,2,FreshMart Co.
2047,Clothing-Hair,Office,334.98,4,PrimeSource Ltd.
2048,Electronics-Candidate,Home,357.63,7,GlobalTech Supplies
2049,Office-Easy,Home,939.84,8,GlobalTech Supplies
2050,Electronics-Young,Home,186.78,3,GlobalTech Supplies
2051,Home-Century,Electronics,117.32,1,GlobalTech Supplies
2052,Office-Year,Home,731.26,4,UrbanStyle Traders
2053,Home-Ground,Office,610.15,2,GlobalTech Supplies
2054,Electronics-Above,Office,900.51,8,PrimeSource Ltd.
